,EmployeeID,Attrition,Age,HomeToWork,HourlnWeek,Involvement,WorkLifeBalance,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MonthlyIncome,TravelProfile_Rarely,TravelProfile_Yes,Department_Analytics,Department_Marketing,Department_Sales,EducationField_CA,EducationField_Engineer,EducationField_MBA,EducationField_Marketing Diploma,EducationField_Statistics,Gender_F,Gender_M,Designation_AVP,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,MaritalStatus_Married,MaritalStatus_Single
28,5110029,0.0,52.0,20.0,41.0,3,5,2,1,0,0,23.0,5.0,1.0,2.0,19258.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
29,5110030,0.0,52.0,30.0,40.0,3,5,1,0,2,0,20.0,16.0,0.0,0.0,18482.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
30,5110031,0.0,39.0,13.0,75.0,4,1,3,0,1,1,20.0,10.0,3.0,8.0,24740.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
31,5110032,0.0,36.0,15.0,68.0,3,5,1,1,0,1,22.0,17.0,4.0,11.0,21586.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
32,5110033,0.0,53.0,1.0,34.0,3,3,5,1,7,0,19.0,18.0,8.0,10.0,23381.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
33,5110034,0.0,36.0,7.0,59.0,3,4,3,0,2,1,25.0,13.0,4.0,5.0,17306.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
34,5110035,0.0,43.0,9.0,72.0,1,5,3,1,1,0,17.0,6.0,1.0,4.0,17645.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
35,5110036,0.0,45.0,3.0,52.0,4,4,3,0,5,0,17.0,11.0,1.0,3.0,21985.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
36,5110037,0.0,36.0,1.0,77.0,5,4,5,1,2,1,26.0,17.0,7.0,7.0,25252.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
37,5110038,0.0,51.0,5.0,66.0,3,5,3,0,6,0,22.0,31.0,1.0,4.0,33639.0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
38,5110039,1.0,20.0,24.0,39.0,4,1,4,0,2,1,19.0,2.0,1.0,1.0,18121.0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
39,5110040,1.0,35.0,19.0,67.0,3,3,3,1,0,1,23.0,5.0,3.0,2.0,19614.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
40,5110041,0.0,34.0,3.0,70.0,3,4,1,0,2,1,18.0,16.0,9.0,13.0,29458.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
41,5110042,1.0,25.0,20.0,69.0,3,2,4,1,2,0,19.0,2.0,1.0,1.0,18210.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
42,5110043,1.0,43.0,22.0,59.0,1,2,3,0,7,1,18.0,8.0,3.0,2.5,18759.0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
43,5110044,0.0,35.0,3.0,37.0,3,5,4,0,5,0,16.0,10.0,1.0,2.0,19425.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
44,5110045,0.0,50.0,11.0,80.0,4,5,2,0,6,0,20.0,20.0,1.0,3.0,25496.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
45,5110046,0.0,38.0,24.0,52.0,3,3,2,0,9,0,19.0,10.0,0.0,2.0,20745.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
46,5110047,1.0,34.0,8.0,66.0,5,4,3,1,1,1,29.0,9.277955271565496,0.0,6.0,21074.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
47,5110048,0.0,36.0,5.0,59.0,3,1,3,0,1,0,24.0,1.0,0.0,0.0,17318.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
48,5110049,0.0,57.0,25.0,53.0,2,4,2,1,3,1,21.0,12.0,1.0,4.0,24439.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
49,5110050,0.0,30.0,13.0,61.0,3,4,3,0,2,0,17.0,2.0,1.0,1.0,18642.0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
50,5110051,1.0,36.0,11.0,59.0,4,4,4,0,2,0,18.0,2.0,1.0,1.0,17261.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
51,5110052,0.0,40.0,1.0,78.0,4,1,4,0,1,0,27.0,22.0,11.0,11.0,28503.0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
52,5110053,0.0,31.0,9.0,67.0,1,3,2,1,0,0,17.0,3.0,2.0,2.0,17791.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
53,5110054,0.0,43.0,27.0,62.0,3,3,2,1,1,1,17.0,25.0,4.0,12.0,31959.0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
54,5110055,0.0,39.0,18.0,64.0,4,5,2,1,1,1,20.0,13.0,3.0,10.0,27510.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
55,5110056,1.0,32.0,10.0,41.0,3,3,5,1,7,0,27.0,10.0,0.0,4.0,19200.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
56,5110057,0.0,34.0,9.0,62.0,1,1,3,1,1,0,26.0,10.0,4.0,8.0,21799.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
57,5110058,1.0,32.0,3.0,52.0,4,4,4,0,7,1,17.0,7.0,2.0,2.0,24907.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
58,5110059,0.0,36.0,22.0,79.0,1,3,4,0,1,0,23.0,14.0,2.0,13.0,17028.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
59,5110060,0.0,34.0,9.0,52.0,1,1,3,0,2,0,17.0,6.0,1.0,2.0,19404.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
60,5110061,0.0,36.0,3.0,59.0,3,1,5,0,3,0,18.0,3.0,0.0,0.0,17322.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
61,5110062,1.0,29.0,24.0,45.0,4,5,5,0,1,0,18.0,11.0,3.0,10.0,22336.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
62,5110063,0.0,42.0,13.0,42.0,5,5,4,0,2,0,19.0,20.0,12.0,10.0,22151.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
63,5110064,0.0,44.0,29.0,53.0,1,1,1,1,3,1,23.0,23.0,11.0,11.0,28320.0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
64,5110065,1.0,32.0,1.0,62.0,4,3,3,1,0,1,19.0,4.0,1.0,2.5,18730.0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
65,5110066,0.0,26.0,1.0,57.0,3,5,3,1,1,0,22.0,8.0,7.0,7.0,20296.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
66,5110067,0.0,26.0,22.0,69.0,3,3,1,1,4,0,17.0,8.0,2.0,3.0,19669.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
67,5110068,0.0,34.0,3.0,44.0,4,4,1,0,1,0,19.0,7.0,2.0,5.0,22949.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
68,5110069,0.0,29.0,4.0,63.0,4,5,3,0,1,0,23.0,10.0,0.0,7.0,26935.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
69,5110070,0.0,35.0,13.0,55.0,3,5,4,1,2,0,20.0,2.0,2.0,1.0,18008.0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
70,5110071,1.0,21.0,12.0,56.0,3,4,2,0,2,1,20.0,3.0,1.0,3.0,18323.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
71,5110072,0.0,44.0,30.0,55.0,3,5,5,1,9,0,17.0,19.0,1.0,2.0,26820.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
72,5110073,0.0,37.0,26.0,72.0,3,1,3,1,3,1,20.0,15.0,10.0,7.0,19449.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
73,5110074,1.0,39.0,32.0,72.0,3,2,5,1,8,1,19.0,18.0,1.0,1.0,22673.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
74,5110075,0.0,41.0,24.0,80.0,3,3,3,0,3,1,21.0,21.0,0.0,2.0,22082.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
75,5110076,0.0,30.0,6.0,54.0,3,3,5,0,5,0,19.0,8.0,2.0,8.0,18204.0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
76,5110077,0.0,40.0,11.0,67.0,4,5,4,1,2,0,17.0,11.0,0.0,0.0,24705.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
77,5110078,0.0,41.0,17.0,56.0,3,4,5,0,2,0,21.0,6.0,2.0,3.0,20639.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
78,5110079,0.0,43.0,10.0,72.0,3,5,3,0,3,1,18.0,10.0,4.0,7.0,20679.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
79,5110080,1.0,36.0,12.0,61.0,3,4,1,1,2,0,19.0,2.0,1.0,1.0,17081.0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
80,5110081,0.0,32.0,4.0,39.0,3,1,2,1,3,0,20.0,10.0,7.0,7.0,26159.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
81,5110082,0.0,38.0,5.0,57.0,3,3,3,1,7,0,24.0,7.0,0.0,0.0,18306.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
82,5110083,0.0,52.0,1.0,65.0,4,1,3,0,0,0,19.0,34.0,11.0,9.0,34999.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
83,5110084,0.0,38.0,3.0,75.0,1,4,5,0,6,1,17.0,17.0,4.0,12.0,20980.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
84,5110085,0.0,27.0,1.0,73.0,3,4,4,1,0,1,18.0,6.097435897435897,1.0,4.0,21349.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
85,5110086,0.0,52.0,7.0,78.0,3,4,5,0,3,1,17.0,18.0,6.0,9.0,20577.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
86,5110087,1.0,31.0,7.0,76.0,5,1,3,0,4,1,23.0,8.080385852090032,7.0,7.0,21172.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
87,5110088,1.0,26.0,6.0,63.0,3,3,5,1,6,0,19.0,7.0,1.0,3.0,20031.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
88,5110089,1.0,32.0,9.0,57.0,3,4,1,0,1,1,29.0,1.0,0.0,1.0,17795.0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
89,5110090,1.0,53.0,11.0,57.0,4,1,4,1,3,0,21.0,12.0,8.0,8.0,20941.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
90,5110091,1.0,24.0,9.0,65.0,1,2,5,0,2,1,27.0,2.0,1.0,1.0,17601.0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
91,5110092,1.0,31.0,19.0,59.0,1,4,5,1,0,0,22.0,2.0,0.0,0.0,17956.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
92,5110093,0.0,36.0,16.0,59.0,3,4,1,0,1,0,24.0,6.0,1.0,5.0,17340.0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
93,5110094,0.0,33.0,3.0,35.0,3,2,1,1,2,1,28.0,10.0,8.0,9.0,22162.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
94,5110095,0.0,43.0,10.0,72.0,3,4,3,0,3,1,18.0,10.0,4.0,7.0,20679.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
95,5110096,1.0,44.0,16.0,73.0,3,4,2,1,1,0,19.0,10.0,0.0,5.0,22978.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
96,5110097,0.0,32.0,8.0,76.0,3,3,5,0,1,0,25.0,11.0,2.0,8.0,25936.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
97,5110098,0.0,40.0,6.0,48.0,4,3,5,1,5,1,26.0,20.0,1.0,12.0,25475.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
98,5110099,1.0,34.0,17.0,60.0,3,5,1,1,6,1,19.0,9.0,1.0,5.0,18436.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
99,5110100,1.0,48.0,12.0,54.0,5,4,3,1,8,0,17.0,26.0,15.0,11.0,28936.0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
100,5110101,0.0,28.0,11.0,74.0,3,2,4,1,1,0,27.0,1.0,0.0,0.0,16052.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
101,5110102,0.0,29.0,8.0,52.0,3,2,1,1,1,1,16.0,6.0,1.0,0.0,21623.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
102,5110103,0.0,32.0,27.0,68.0,4,5,5,1,2,0,19.0,11.0,2.0,9.0,22812.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
103,5110104,1.0,29.0,14.0,51.0,3,2,4,0,5,0,16.0,7.0,0.0,0.0,20765.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
104,5110105,0.0,36.0,1.0,33.0,4,5,3,1,0,0,20.0,4.0,1.0,2.0,19374.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
105,5110106,0.0,33.0,5.0,78.0,3,5,5,0,2,0,18.0,2.0,1.0,2.5,18827.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
106,5110107,0.0,34.0,4.0,40.0,4,4,2,1,3,0,22.0,6.0,0.0,0.0,17979.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
107,5110108,1.0,24.0,8.0,55.0,3,4,3,0,1,1,21.0,6.0,1.0,2.0,17886.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
108,5110109,0.0,31.0,8.0,48.0,3,1,2,0,3,0,27.0,10.0,1.0,7.0,20915.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
109,5110110,0.0,49.0,5.0,55.0,4,3,3,1,2,0,18.0,23.0,0.0,0.0,33711.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
110,5110111,0.0,30.0,12.0,32.0,4,3,2,0,1,0,23.0,5.0,3.0,3.0,19983.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
111,5110112,0.0,29.0,13.0,61.0,3,1,3,0,4,0,19.0,11.0,2.0,8.0,19660.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
112,5110113,1.0,29.0,9.0,52.0,5,3,4,0,1,0,18.0,2.0,2.0,2.0,17760.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
113,5110114,0.0,25.0,16.0,80.0,3,3,4,0,2,0,19.0,2.0,1.0,1.0,18033.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
114,5110115,1.0,41.0,13.0,49.0,3,3,3,0,1,0,17.0,23.0,15.0,8.0,34545.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
115,5110116,0.0,32.0,1.0,66.0,3,5,4,1,1,0,22.0,8.253869969040247,0.0,9.0,21220.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
116,5110117,0.0,35.0,23.0,61.0,1,4,3,1,1,0,23.0,3.0,1.0,1.0,18585.0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
117,5110118,0.0,28.0,10.0,57.0,4,5,5,1,9,0,19.0,10.0,1.0,8.0,22811.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
118,5110119,0.0,30.0,6.0,30.0,4,3,3,0,1,0,18.0,8.152317880794701,1.0,2.0,21118.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
119,5110120,1.0,31.0,4.0,66.0,4,2,5,1,2,0,17.0,11.0,7.0,8.0,25714.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
120,5110121,0.0,32.0,6.0,80.0,1,1,4,0,0,1,17.0,7.0,0.0,5.0,18298.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
121,5110122,0.0,31.0,1.0,57.0,3,1,4,1,1,0,22.0,1.0,1.0,0.0,17501.0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
122,5110123,0.0,43.0,21.0,37.0,3,5,5,0,7,1,23.0,10.0,2.0,3.0,21410.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
123,5110124,1.0,35.0,13.0,36.0,3,2,1,1,3,1,29.0,13.0,6.0,7.0,19581.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
124,5110125,1.0,36.0,26.0,52.0,4,4,3,1,4,1,19.0,9.0,1.0,2.0,21916.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
125,5110126,0.0,36.0,11.0,80.0,4,5,2,0,5,1,17.0,17.0,5.0,13.0,26377.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
126,5110127,0.0,40.0,10.0,63.0,4,3,2,1,9,0,19.0,5.0,0.0,2.0,19876.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
127,5110128,0.0,38.0,7.0,72.0,4,1,3,0,2,0,16.0,10.0,7.0,7.0,20321.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
128,5110129,0.0,24.0,7.0,53.0,3,1,4,1,2,0,19.0,4.0,2.0,3.0,19295.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
129,5110130,1.0,38.0,30.0,70.0,3,3,5,0,7,1,24.0,17.0,0.0,0.0,21673.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
130,5110131,0.0,38.0,13.0,60.0,4,1,2,1,3,1,19.0,9.0,1.0,1.0,22694.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
131,5110132,0.0,29.0,6.0,80.0,3,4,4,0,2,0,25.0,2.0,1.0,2.5,18856.0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
132,5110133,0.0,34.0,1.0,64.0,4,1,3,0,1,1,19.0,10.0,8.0,6.0,22083.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
133,5110134,1.0,33.0,7.0,34.0,5,4,2,0,2,0,17.0,15.0,10.0,9.0,26400.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
134,5110135,1.0,38.0,5.0,64.0,4,5,3,0,7,1,21.0,8.0,1.0,1.0,18090.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
135,5110136,1.0,36.0,17.0,41.0,4,2,4,1,2,1,30.0,6.0,1.0,3.0,19743.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
136,5110137,0.0,38.0,13.0,44.0,1,1,1,0,2,1,31.0,17.0,7.0,9.0,29744.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
137,5110138,0.0,36.0,1.0,45.0,3,5,1,0,4,0,20.0,7.0,0.0,0.0,21653.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
138,5110139,0.0,46.0,19.0,56.0,3,5,3,0,5,0,16.0,28.0,1.0,2.0,25527.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
139,5110140,0.0,35.0,27.0,31.0,3,5,1,0,1,1,21.0,9.0,7.0,7.0,23837.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
140,5110141,0.0,38.0,8.0,44.0,1,3,5,0,1,1,29.0,8.0,7.0,7.0,20605.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
141,5110142,0.0,28.0,8.0,55.0,3,4,5,0,0,0,19.0,5.0,1.0,3.0,19898.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
142,5110143,0.0,39.0,5.0,44.0,4,4,4,1,2,0,28.0,5.0,4.0,4.0,18440.0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
143,5110144,0.0,41.0,1.0,49.0,2,3,5,1,1,0,19.0,10.0,0.0,7.0,23392.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
